breakfast,tea.time,evening,lunch,dinner,always,home,work,tearoom,friends,resto,pub,Tea,How,sugar,how,where,price,age,sex,SPC,Sport,age_Q,frequency,escape.exoticism,spirituality,healthy,diuretic,friendliness,iron.absorption,feminine,sophisticated,slimming,exciting,relaxing,effect.on.health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,Not.home,work,Not.tearoom,friends,resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,48,M,senior,sportsman,45-59,1/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_variable,26,M,student,sportsman,25-34,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,relaxing,effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag,chain store,p_branded,47,F,middle,sportsman,45-59,3 to 6/week,escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,milk,sugar,tea bag,chain store,p_variable,30,M,workman,sportsman,25-34,1/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,24,M,non-worker,Not.sportsman,15-24,3 to 6/week,escape-exoticism,spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
Not.breakfast,tea time,evening,Not.lunch,Not.dinner,always,home,work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag,chain store,p_branded,29,F,employee,Not.sportsman,25-34,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,other,sugar,tea bag,chain store+tea shop,p_upscale,72,M,non-worker,Not.sportsman,+60,3 to 6/week,escape-exoticism,Not.spirituality,healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,lemon,sugar,tea bag,tea shop,p_unknown,41,M,workman,Not.sportsman,35-44,1/day,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,iron absorption,Not.feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag,chain store,p_private label,18,M,student,sportsman,15-24,+2/day,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,slimming,No.exciting,No.relaxing,effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,black,alone,No.sugar,tea bag+unpackaged,chain store,p_cheap,19,F,student,sportsman,15-24,+2/day,Not.escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag,chain store,p_branded,55,F,employee,Not.sportsman,45-59,3 to 6/week,escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,alone,No.sugar,unpackaged,chain store,p_cheap,47,F,middle,sportsman,45-59,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag,chain store,p_branded,49,F,middle,Not.sportsman,45-59,1/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,30,F,employee,sportsman,25-34,+2/day,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,milk,No.sugar,tea bag,chain store,p_cheap,45,F,other worker,sportsman,45-59,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_private label,22,F,workman,sportsman,15-24,+2/day,escape-exoticism,spirituality,Not.healthy,diuretic,Not.friendliness,Not.iron absorption,feminine,sophisticated,slimming,exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,18,F,non-worker,Not.sportsman,15-24,1 to 2/week,escape-exoticism,Not.spirituality,healthy,Not.diuretic,Not.friendliness,Not.iron absorption,feminine,sophisticated,slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,milk,No.sugar,unpackaged,chain store+tea shop,p_branded,36,F,non-worker,Not.sportsman,35-44,3 to 6/week,escape-exoticism,spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,No.relaxing,effect on health
Not.breakfast,tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,resto,pub,black,alone,No.sugar,tea bag,chain store+tea shop,p_branded,75,F,non-worker,Not.sportsman,+60,3 to 6/week,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,resto,pub,black,alone,sugar,unpackaged,chain store,p_branded,19,F,non-worker,sportsman,15-24,+2/day,escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,effect on health
breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,alone,No.sugar,tea bag,chain store,p_branded,50,F,employee,Not.sportsman,45-59,+2/day,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag+unpackaged,chain store,p_branded,60,F,non-worker,Not.sportsman,+60,1/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,alone,No.sugar,tea bag+unpackaged,chain store,p_branded,21,F,employee,sportsman,15-24,1/day,escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,No.sugar,unpackaged,chain store,p_upscale,45,F,employee,sportsman,45-59,+2/day,Not.escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag,chain store,p_branded,45,F,non-worker,Not.sportsman,45-59,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,No.relaxing,effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag,chain store,p_branded,75,F,non-worker,Not.sportsman,+60,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,black,lemon,No.sugar,unpackaged,tea shop,p_upscale,53,F,senior,Not.sportsman,45-59,+2/day,escape-exoticism,Not.spirituality,Not.healthy,diuretic,Not.friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_variable,25,F,employee,Not.sportsman,25-34,1 to 2/week,Not.escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
breakfast,tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag,chain store,p_variable,20,F,student,sportsman,15-24,+2/day,escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,Not.tearoom,Not.friends,Not.resto,pub,Earl Grey,alone,sugar,unpackaged,chain store+tea shop,p_upscale,20,F,student,sportsman,15-24,+2/day,Not.escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,pub,Earl Grey,alone,No.sugar,tea bag+unpackaged,chain store+tea shop,p_variable,30,F,middle,sportsman,25-34,+2/day,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
breakfast,tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,resto,pub,black,alone,No.sugar,tea bag+unpackaged,chain store,p_upscale,51,F,employee,Not.sportsman,45-59,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,resto,pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,18,F,student,Not.sportsman,15-24,+2/day,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_variable,27,F,non-worker,Not.sportsman,25-34,1/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,slimming,exciting,No.relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,22,F,student,sportsman,15-24,+2/day,Not.escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag,chain store,p_branded,22,F,student,sportsman,15-24,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,No.sugar,tea bag+unpackaged,chain store,p_variable,15,F,student,sportsman,15-24,+2/day,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,lemon,sugar,tea bag,chain store,p_branded,20,F,workman,sportsman,15-24,+2/day,Not.escape-exoticism,spirituality,healthy,diuretic,Not.friendliness,iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,sugar,tea bag+unpackaged,chain store,p_branded,19,F,student,sportsman,15-24,+2/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,resto,Not.pub,black,milk,sugar,tea bag,chain store,p_unknown,45,M,other worker,sportsman,45-59,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,alone,No.sugar,unpackaged,tea shop,p_upscale,48,M,middle,sportsman,45-59,3 to 6/week,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,black,alone,No.sugar,tea bag,chain store,p_private label,35,M,senior,sportsman,35-44,1/day,escape-exoticism,Not.spirituality,healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,milk,sugar,tea bag,chain store,p_variable,50,M,middle,Not.sportsman,45-59,1/day,escape-exoticism,Not.spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,effect on health
breakfast,tea time,evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag+unpackaged,chain store,p_variable,25,M,employee,sportsman,25-34,+2/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag,chain store,p_variable,69,M,non-worker,Not.sportsman,+60,1/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,sugar,tea bag,chain store,p_branded,70,M,non-worker,Not.sportsman,+60,1/day,Not.escape-exoticism,spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,sugar,tea bag,chain store,p_branded,40,M,workman,sportsman,35-44,1/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,green,alone,sugar,tea bag+unpackaged,chain store,p_private label,21,M,non-worker,sportsman,15-24,1 to 2/week,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,Not.friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,tearoom,friends,Not.resto,Not.pub,green,lemon,sugar,unpackaged,tea shop,p_upscale,26,M,middle,Not.sportsman,25-34,+2/day,escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,resto,Not.pub,Earl Grey,alone,sugar,tea bag+unpackaged,tea shop,p_variable,25,M,workman,sportsman,25-34,3 to 6/week,escape-exoticism,spirituality,Not.healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag+unpackaged,chain store,p_branded,26,M,employee,sportsman,25-34,+2/day,escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag,chain store,p_cheap,23,M,workman,Not.sportsman,15-24,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,No.relaxing,effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,Not.home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,alone,sugar,tea bag+unpackaged,chain store,p_branded,22,F,student,Not.sportsman,15-24,1/day,Not.escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,No.sugar,unpackaged,tea shop,p_upscale,45,M,other worker,sportsman,45-59,1/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,Not.friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,always,home,work,Not.tearoom,friends,Not.resto,Not.pub,black,alone,No.sugar,unpackaged,chain store,p_variable,36,M,employee,Not.sportsman,35-44,+2/day,Not.escape-exoticism,spirituality,healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,dinner,always,Not.home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,Earl Grey,lemon,sugar,tea bag,chain store,p_branded,27,M,employee,sportsman,25-34,1 to 2/week,Not.escape-exoticism,spirituality,healthy,diuretic,Not.friendliness,Not.iron absorption,Not.feminine,sophisticated,slimming,exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,pub,Earl Grey,alone,No.sugar,tea bag,chain store+tea shop,p_variable,18,M,workman,sportsman,15-24,1/day,escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,pub,green,alone,No.sugar,tea bag,tea shop,p_upscale,61,M,non-worker,sportsman,+60,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,Not.friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,Not.friends,Not.resto,Not.pub,green,alone,sugar,tea bag,chain store,p_branded,56,M,middle,sportsman,45-59,1/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,Not.friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,dinner,Not.always,home,work,Not.tearoom,friends,Not.resto,Not.pub,Earl Grey,lemon,sugar,tea bag+unpackaged,chain store+tea shop,p_branded,25,M,employee,Not.sportsman,25-34,1/day,escape-exoticism,spirituality,healthy,Not.diuretic,Not.friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,tearoom,friends,Not.resto,Not.pub,black,alone,No.sugar,unpackaged,tea shop,p_upscale,50,M,middle,sportsman,45-59,1 to 2/week,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,No.relaxing,effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag+unpackaged,chain store+tea shop,p_upscale,29,M,non-worker,sportsman,25-34,1/day,escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,dinner,Not.always,home,Not.work,tearoom,friends,resto,Not.pub,Earl Grey,other,sugar,tea bag,chain store,p_branded,20,M,employee,sportsman,15-24,1 to 2/week,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,No.exciting,relaxing,effect on health
Not.breakfast,Not.tea time,Not.evening,Not.lunch,dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,green,alone,No.sugar,tea bag,chain store,p_branded,32,M,other worker,sportsman,25-34,1/day,Not.escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
breakfast,tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,black,milk,No.sugar,unpackaged,chain store,p_upscale,71,M,non-worker,Not.sportsman,+60,+2/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,Not.feminine,Not.sophisticated,No.slimming,exciting,relaxing,No.effect on health
Not.breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,Not.work,tearoom,friends,Not.resto,pub,black,lemon,No.sugar,tea bag+unpackaged,chain store+tea shop,p_variable,65,M,non-worker,Not.sportsman,+60,1/day,Not.escape-exoticism,Not.spirituality,healthy,diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,black,lemon,sugar,unpackaged,tea shop,p_upscale,61,M,non-worker,Not.sportsman,+60,1 to 2/week,escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,sophisticated,No.slimming,No.exciting,relaxing,No.effect on health
Not.breakfast,Not.tea time,evening,Not.lunch,Not.dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,green,alone,sugar,unpackaged,chain store,p_variable,27,M,employee,Not.sportsman,25-34,3 to 6/week,escape-exoticism,Not.spirituality,Not.healthy,Not.diuretic,Not.friendliness,Not.iron absorption,Not.feminine,sophisticated,No.slimming,exciting,No.relaxing,No.effect on health
breakfast,tea time,Not.evening,Not.lunch,Not.dinner,Not.always,home,work,Not.tearoom,friends,Not.resto,pub,Earl Grey,alone,sugar,tea bag,chain store,p_variable,21,M,employee,sportsman,15-24,1/day,escape-exoticism,spirituality,healthy,Not.diuretic,friendliness,Not.iron absorption,feminine,Not.sophisticated,No.slimming,No.exciting,relaxing,effect on health
breakfast,Not.tea time,Not.evening,Not.lunch,dinner,Not.always,home,Not.work,Not.tearoom,friends,Not.resto,Not.pub,black,alone,sugar,unpackaged,tea shop,p_upscale,31,M,senior,sportsman,25-34,+2/day,Not.escape-exoticism,Not.spirituality,healthy,Not.diuretic,friendliness,iron absorption,Not.feminine,sophisticated,slimming,exciting,relaxing,No.effect on health
